date,open,high,low,close,volume,pre-close,changeamount,change
2022-03-10,2645.36,2664.58,2625.6,2635.19,138444365.0,2566.72,68.47,0.0267
2022-03-11,2589.7,2668.24,2566.03,2665.46,138711255.0,2635.19,30.27,0.0115
2022-03-14,2638.49,2647.25,2570.28,2570.45,127249772.0,2665.46,-95.01,-0.0356
2022-03-15,2547.72,2615.71,2504.78,2504.78,139790915.0,2570.45,-65.67,-0.0255
2022-03-16,2549.15,2639.93,2478.44,2635.08,154177669.0,2504.78,130.3,0.052
2022-03-17,2684.84,2764.25,2684.04,2710.73,171330127.0,2635.08,75.65,0.0287
2022-03-18,2693.15,2725.69,2668.93,2713.79,138496952.0,2710.73,3.06,0.0011
2022-03-21,2730.21,2756.35,2702.18,2726.18,144461358.0,2713.79,12.39,0.0046
2022-03-22,2718.0,2718.0,2676.84,2688.23,134501338.0,2726.18,-37.95,-0.0139
2022-03-23,2707.57,2725.56,2682.13,2715.95,124740713.0,2688.23,27.72,0.0103
2022-03-24,2697.43,2725.28,2655.92,2706.21,119781878.0,2715.95,-9.74,-0.0036
2022-03-25,2702.65,2714.15,2637.94,2637.94,115519788.0,2706.21,-68.27,-0.0252
2022-03-28,2622.47,2622.59,2576.23,2594.13,106819512.0,2637.94,-43.81,-0.0166
2022-03-29,2603.42,2633.45,2581.38,2592.67,109982339.0,2594.13,-1.46,-0.0006
2022-03-30,2612.71,2696.83,2610.41,2696.83,107478221.0,2592.67,104.16,0.0402
2022-03-31,2683.19,2686.28,2646.24,2659.49,120775688.0,2696.83,-37.34,-0.0138
2022-04-01,2641.75,2687.15,2632.98,2666.97,118863503.0,2659.49,7.48,0.0028
2022-04-06,2662.28,2662.62,2615.92,2633.91,115767309.0,2666.97,-33.06,-0.0124
2022-04-07,2611.98,2632.1,2576.53,2578.53,116513848.0,2633.91,-55.38,-0.021
2022-04-08,2578.74,2609.35,2546.51,2569.91,108805417.0,2578.53,-8.62,-0.0033
2022-04-11,2536.15,2536.15,2455.46,2462.04,108217475.0,2569.91,-107.87,-0.042
2022-04-12,2461.6,2523.69,2459.26,2523.69,103760061.0,2462.04,61.65,0.025
2022-04-13,2499.19,2513.47,2466.84,2466.84,104074890.0,2523.69,-56.85,-0.0225
2022-04-14,2495.16,2498.81,2443.15,2466.29,92386386.0,2466.84,-0.55,-0.0002
2022-04-15,2443.35,2483.75,2416.7,2460.36,101913692.0,2466.29,-5.93,-0.0024
2022-04-18,2435.85,2491.6,2410.86,2487.77,83293883.0,2460.36,27.41,0.0111
2022-04-19,2484.52,2510.41,2444.59,2453.55,84771292.0,2487.77,-34.22,-0.0138
2022-04-20,2440.3,2443.31,2357.91,2363.65,96710387.0,2453.55,-89.9,-0.0366
2022-04-21,2352.22,2378.34,2298.75,2312.46,104363067.0,2363.65,-51.19,-0.0217
2022-04-22,2299.16,2321.14,2279.78,2296.6,95141972.0,2312.46,-15.86,-0.0069
2022-04-25,2240.04,2262.77,2168.9,2169.0,121635218.0,2296.6,-127.6,-0.0556
2022-04-26,2172.8,2218.56,2149.6,2150.51,113775882.0,2169.0,-18.49,-0.0085
2022-04-27,2122.32,2271.17,2122.32,2269.17,124006331.0,2150.51,118.66,0.0552
2022-04-28,2249.51,2266.43,2206.96,2227.65,106755886.0,2269.17,-41.52,-0.0183
2022-04-29,2247.7,2322.97,2221.99,2319.14,124049347.0,2227.65,91.49,0.0411
2022-05-05,2263.92,2317.17,2242.96,2288.4,102798612.0,2319.14,-30.74,-0.0133
2022-05-06,2227.68,2274.39,2222.49,2244.97,97438679.0,2288.4,-43.43,-0.019
2022-05-09,2236.17,2263.12,2213.58,2228.07,89802670.0,2244.97,-16.9,-0.0075
2022-05-10,2192.06,2287.87,2187.44,2276.35,101407905.0,2228.07,48.28,0.0217
2022-05-11,2280.96,2401.1,2275.27,2346.15,130449754.0,2276.35,69.8,0.0307
2022-05-12,2325.95,2367.31,2324.76,2351.27,101298872.0,2346.15,5.12,0.0022
2022-05-13,2367.55,2373.3,2334.37,2358.16,87124462.0,2351.27,6.89,0.0029
2022-05-16,2376.64,2395.75,2328.74,2331.23,92161554.0,2358.16,-26.93,-0.0114
2022-05-17,2335.12,2370.66,2323.07,2369.09,94186473.0,2331.23,37.86,0.0162
2022-05-18,2373.89,2384.6,2352.92,2365.38,96377812.0,2369.09,-3.71,-0.0016
2022-05-19,2329.96,2377.31,2325.67,2377.13,97363712.0,2365.38,11.75,0.005
2022-05-20,2395.35,2426.58,2384.11,2417.35,101254474.0,2377.13,40.22,0.0169
2022-05-23,2422.13,2423.79,2385.7,2410.12,99851346.0,2417.35,-7.23,-0.003
2022-05-24,2404.6,2404.6,2316.79,2318.07,120189202.0,2410.12,-92.05,-0.0382
2022-05-25,2320.78,2332.96,2303.15,2325.6,87934858.0,2318.07,7.53,0.0032
2022-05-26,2329.43,2343.21,2283.44,2321.13,92064069.0,2325.6,-4.47,-0.0019
2022-05-27,2340.62,2377.4,2311.06,2322.48,91212882.0,2321.13,1.35,0.0006
2022-05-30,2338.35,2359.58,2323.82,2350.38,84634486.0,2322.48,27.9,0.012
2022-05-31,2349.79,2411.18,2323.35,2405.08,101118564.0,2350.38,54.7,0.0233
2022-06-01,2403.35,2441.39,2395.97,2428.96,95981827.0,2405.08,23.88,0.0099
2022-06-02,2418.66,2463.35,2411.71,2458.26,97179110.0,2428.96,29.3,0.0121
2022-06-06,2456.16,2562.02,2455.95,2554.66,113564718.0,2458.26,96.4,0.0392
2022-06-07,2555.55,2575.89,2532.78,2554.63,112895854.0,2554.66,-0.03,-0.0
2022-06-08,2558.15,2576.34,2507.11,2576.34,113003297.0,2554.63,21.71,0.0085
2022-06-09,2558.33,2561.41,2491.82,2500.21,101654751.0,2576.34,-76.13,-0.0295
2022-06-10,2482.31,2556.98,2481.96,2556.47,100860470.0,2500.21,56.26,0.0225
2022-06-13,2522.73,2563.24,2520.0,2546.49,109231777.0,2556.47,-9.98,-0.0039
2022-06-14,2515.51,2551.08,2461.54,2548.31,115693742.0,2546.49,1.82,0.0007
2022-06-15,2560.64,2631.94,2550.5,2575.09,127576522.0,2548.31,26.78,0.0105
2022-06-16,2575.96,2616.82,2574.95,2585.47,122937646.0,2575.09,10.38,0.004
2022-06-17,2561.4,2666.08,2559.67,2657.21,121119135.0,2585.47,71.74,0.0277
2022-06-20,2672.77,2741.59,2672.32,2710.14,125890314.0,2657.21,52.93,0.0199
2022-06-21,2707.98,2723.03,2664.69,2692.98,131251428.0,2710.14,-17.16,-0.0063
2022-06-22,2701.63,2721.81,2677.01,2677.29,119271805.0,2692.98,-15.69,-0.0058
2022-06-23,2693.75,2760.1,2672.58,2760.1,122679107.0,2677.29,82.81,0.0309
2022-06-24,2779.41,2824.44,2761.46,2824.44,127638735.0,2760.1,64.34,0.0233
2022-06-27,2838.58,2863.66,2819.29,2830.6,133676288.0,2824.44,6.16,0.0022
2022-06-28,2827.35,2850.29,2771.93,2840.42,139739843.0,2830.6,9.82,0.0035
2022-06-29,2817.12,2845.46,2764.4,2768.61,145707205.0,2840.42,-71.81,-0.0253
2022-06-30,2776.39,2834.49,2772.77,2810.6,123626806.0,2768.61,41.99,0.0152
2022-07-01,2810.11,2822.8,2768.48,2781.94,110512796.0,2810.6,-28.66,-0.0102
2022-07-04,2764.62,2834.69,2748.13,2834.69,109141294.0,2781.94,52.75,0.019
2022-07-05,2845.74,2867.43,2780.36,2825.13,116374280.0,2834.69,-9.56,-0.0034
2022-07-06,2826.35,2858.05,2776.7,2802.72,105108564.0,2825.13,-22.41,-0.0079
2022-07-07,2814.15,2852.8,2792.18,2849.71,103292122.0,2802.72,46.99,0.0168
2022-07-08,2868.69,2887.72,2810.65,2817.64,115016320.0,2849.71,-32.07,-0.0113
2022-07-11,2804.55,2804.8,2742.46,2767.46,101740943.0,2817.64,-50.18,-0.0178
2022-07-12,2768.82,2774.12,2697.68,2702.69,97870484.0,2767.46,-64.77,-0.0234
2022-07-13,2708.1,2762.51,2674.47,2746.86,93445579.0,2702.69,44.17,0.0163
2022-07-14,2739.92,2841.39,2736.32,2819.13,102746448.0,2746.86,72.27,0.0263
2022-07-15,2804.18,2835.01,2760.5,2760.5,112050434.0,2819.13,-58.63,-0.0208
2022-07-18,2778.4,2812.67,2736.26,2800.36,118130253.0,2760.5,39.86,0.0144
2022-07-19,2799.38,2799.38,2736.67,2750.87,119441901.0,2800.36,-49.49,-0.0177
2022-07-20,2764.25,2786.29,2754.18,2765.16,115046371.0,2750.87,14.29,0.0052
2022-07-21,2756.32,2794.37,2741.31,2751.41,112492706.0,2765.16,-13.75,-0.005
2022-07-22,2776.98,2788.94,2714.12,2737.31,108559373.0,2751.41,-14.1,-0.0051
2022-07-25,2732.61,2736.73,2693.16,2704.95,97962088.0,2737.31,-32.36,-0.0118
2022-07-26,2708.74,2729.38,2682.21,2713.46,93019219.0,2704.95,8.51,0.0031
2022-07-27,2710.74,2730.17,2696.2,2714.25,100393697.0,2713.46,0.79,0.0003
2022-07-28,2734.63,2749.14,2704.05,2705.9,120107323.0,2714.25,-8.35,-0.0031
2022-07-29,2716.1,2718.53,2665.65,2670.45,114185707.0,2705.9,-35.45,-0.0131
2022-08-01,2662.76,2734.64,2641.18,2733.74,114074695.0,2670.45,63.29,0.0237
2022-08-02,2692.12,2716.04,2651.85,2678.62,150284682.0,2733.74,-55.12,-0.0202
2022-08-03,2687.25,2716.22,2620.39,2628.82,135171218.0,2678.62,-49.8,-0.0186
2022-08-04,2645.0,2655.66,2610.5,2640.78,109966584.0,2628.82,11.96,0.0045
2022-08-05,2648.05,2686.23,2637.24,2683.6,121736685.0,2640.78,42.82,0.0162
2022-08-08,2668.99,2679.68,2647.25,2675.69,109973891.0,2683.6,-7.91,-0.0029
2022-08-09,2668.92,2698.46,2658.69,2694.8,111774869.0,2675.69,19.11,0.0071
2022-08-10,2688.13,2692.25,2645.55,2658.58,112191127.0,2694.8,-36.22,-0.0134
2022-08-11,2672.18,2724.85,2650.88,2721.49,131758742.0,2658.58,62.91,0.0237
2022-08-12,2712.69,2717.68,2689.67,2690.83,123906983.0,2721.49,-30.66,-0.0113
2022-08-15,2688.66,2734.33,2686.82,2718.59,109348711.0,2690.83,27.76,0.0103
2022-08-16,2725.93,2759.52,2718.17,2731.39,113334106.0,2718.59,12.8,0.0047
2022-08-17,2739.48,2783.93,2719.22,2777.91,119572889.0,2731.39,46.52,0.017
2022-08-18,2771.15,2797.49,2769.21,2775.82,120927253.0,2777.91,-2.09,-0.0008
2022-08-19,2779.99,2780.1,2733.05,2734.22,131774370.0,2775.82,-41.6,-0.015
2022-08-22,2730.42,2782.67,2715.16,2779.02,112627375.0,2734.22,44.8,0.0164
2022-08-23,2775.21,2802.05,2764.52,2780.31,105766486.0,2779.02,1.29,0.0005
2022-08-24,2800.38,2803.43,2675.88,2679.05,126146502.0,2780.31,-101.26,-0.0364
2022-08-25,2688.86,2694.16,2634.85,2667.3,106746535.0,2679.05,-11.75,-0.0044
2022-08-26,2666.21,2677.73,2634.43,2640.29,95427328.0,2667.3,-27.01,-0.0101
2022-08-29,2599.84,2641.17,2595.71,2630.51,89830569.0,2640.29,-9.78,-0.0037
2022-08-30,2630.13,2632.13,2594.78,2612.14,94137481.0,2630.51,-18.37,-0.007
2022-08-31,2596.16,2611.65,2550.99,2570.41,106284307.0,2612.14,-41.73,-0.016
2022-09-01,2561.93,2584.62,2531.81,2533.85,85700860.0,2570.41,-36.56,-0.0142
2022-09-02,2548.18,2552.34,2517.46,2533.02,85760128.0,2533.85,-0.83,-0.0003
2022-09-05,2528.71,2553.11,2519.89,2538.2,79959835.0,2533.02,5.18,0.002
2022-09-06,2541.12,2542.98,2493.43,2540.64,81661953.0,2538.2,2.44,0.001
2022-09-07,2525.15,2584.85,2522.38,2570.8,85303218.0,2540.64,30.16,0.0119
